A. MOVIE PROMOS
B. PURCHASE BONUSES
C. THEME DECKS & BOX SETS
D. LEAGUE & TOURNAMENTS
E. PROMO PACKS
F. EVENT PARTICIPATION
G. MISCELLANEOUS

Below is the ordered list of all promo cards and their source category.
1. Base Set
# 	Name KR 	Name ENG 	Source
58/102 	피카츄 	Pikachu 	Pikachu World Collection 2000 (Gold tail stamp)
105 	고래왕자 	Wailmer 	Promo Pack 5
106 	마임맨 GX 	Mr. Mime GX 	Promo Pack 5
107 	테오키스 		Promo Pack 5
108 	히드런 	Heatran 	Promo Pack 5
109 	델케티 	Delcatty 	Promo Pack 5
110 	리턴라벨 	Return Label 	Promo Pack 5
111 	울트라네크로즈마 	Ultra Necrozoma 	League & Tournaments
112 	칠색조 GX 	Ho-oh GX 	Purchase Bonus
113 	염뉴트 GX 	Salazzle GX 	Theme decks & box sets
114 	카푸꼬꼬꼭 GX 	Tapu Koko GX 	Theme decks & box sets
115 	다크라이 GX 	Darkrai GX 	Theme decks & box sets
116 	제크로무 GX 	Zekrom GX 	Purchase Bonus
117 	제크로무 GX 	Zekrom GX 	League & Tournaments
118 	제크로무 GX 	Zekrom GX 	League & Tournaments
119 	송호 오 	Alolan Oak 	
120 	피카츄 	Pikachu 	Purchase Bonus (Kisstick Sausage)
121 	꼬지모 	Sudowoodo 	Purchase Bonus (Kisstick Sausage)
122 	럭키 	Chansey 	Purchase Bonus (Kisstick Sausage)
123 	이브이 	Eevee 	Purchase Bonus (Kisstick Sausage)
124 	루기아 	Lugia 	Purchase Bonus (Kisstick Sausage)
125 	제라오라 	Zeraora 	Theme decks & box sets
126 	제라오라 	Zeraora 	Movie Promo
127 	알로라 텅구리 GX 	Alolan Marowak 	Promo Pack 6
128 	야돈 	Slowpoke 	Promo Pack 6
129 	탕구리 	Marowak 	Promo Pack 6
130 	알로라 나옹 	Alolan Meowth 	Promo Pack 6
131 	라티아스 	Latias 	Promo Pack 6
132 	라티오스 	Latios 	Promo Pack 6
133 	에너지 스피너 	Energy Spinner 	Promo Pack 6
134 	피카츄 	Pikachu 	Lucky Draw Event (2018-2019 Korean League event)
135 	피카츄 	Pikachu 	Lucky Draw Event (2018-2019 Korean League event)
136 	피카츄 	Pikachu 	Lucky Draw Event (2018-2019 Korean League event)
137 	베베놈 	Poipole 	Lucky Draw Event (2018-2019 Korean League event)
138 	리피아 GX 	Leafeon GX 	1000 BP Priye (2018-2019 Korean League event)
139 	글레이시아 GX 	Glaceon GX 	1000 BP Priye (2018-2019 Korean League event)
140 	이브이&잠만보 GX 	Eevee & Snorlax GX 	Purchase Bonus
141 	명탐정 피카츄 	Detective Pikachu 	Theme decks & box sets
142 	명탐정 피카츄 	Detective Pikachu 	Theme decks & box sets
143 	명탐정 피카츄 	Detective Pikachu 	Movie Promos
144 	파라스 	Paras 	Promo Pack 7
145 	쥬피썬더 	Jolteon 	Promo Pack 7
146 	샤프니아 	Carvanha 	Promo Pack 7
147 	삐삐 	Clefairy 	Promo Pack 7
148 	신뇽 	Dragonair 	Promo Pack 7
149 	캥카 GX 	Kangaskhan GX 	Promo Pack 7
150 	이명벨 	Ear-Ringing Bell 	Promo Pack 7
151 	불켜미 	Litwick 	Promo Pack 8
152 	냐오히트 	Torracat 	Promo Pack 8
153 	무우마직 	Mismagius 	Promo Pack 8
154 	리오르 	Riolu 	Promo Pack 8
155 	니로우 	Murkrow 	Promo Pack 8
156 	폴리곤Z GX 	Porygon Z GX 	Promo Pack 8
157 	강연의 퀴즈쇼 	Blaine’s Quiz Show 	Promo Pack 8
158 	카푸느지느 GX 	Tapu Fini GX 	Theme decks & box sets
159 	볼토로스 GX 	Thundurus 	Theme decks & box sets
160 	카푸나비나 GX 	Tapu Lele GX 	Theme decks & box sets
161 	님피아 GX 	Sylveon GX 	Theme decks & box sets
162 	토네로스 GX 	Tornadus GX 	Theme decks & box sets
163 	비크티나 	Victini 	Purchase Bonus
